"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.443000097E-3,-6.073725823E-1,4.275817376E-1,-1.717735958E0
2.736199973E-2,-8.703965684E-1,4.077202079E-1,-1.531164170E0
4.728200007E-2,5.426260711E-1,9.191647589E-2,7.934274030E-1
6.720099971E-2,4.536401466E-1,2.071194881E-1,1.004107261E0
8.712100005E-2,-1.407388993E-1,1.851550072E-1,3.419217825E-2
1.070399997E-1,-3.149597595E-1,5.825545871E-1,-6.214701462E-1
1.269600000E-1,2.981155392E-1,-1.144034055E-1,-1.443749465E0
1.468782499E-1,-4.373287538E-1,-6.513652056E-2,-1.388568122E0
1.667982498E-1,-5.991052772E-1,3.191173491E-1,-6.794984990E-1
1.867172499E-1,-6.782316998E-1,1.034956878E0,-1.169143168E0
2.066372498E-1,-4.190931519E-1,1.145582105E0,-1.491213069E0
2.265562499E-1,9.405500731E-1,-3.224830064E-1,-7.434302008E-1
2.464762498E-1,6.562194179E-1,1.933644980E-2,1.497028125E0
2.663952499E-1,-2.927126936E-1,4.277469215E-1,2.565334305E0
2.863152497E-1,-2.866600763E-1,8.644462225E-1,2.696803102E0
3.062342498E-1,-3.720140393E-1,1.022908910E0,1.677995941E0
3.261542497E-1,-4.013801816E-1,4.126885139E-1,2.751495034E-1
3.460732498E-1,-2.744906099E0,7.206280332E-1,6.065749490E-1
3.659932497E-1,-1.528917670E0,-7.895648785E-2,1.100334889E0
3.859122498E-1,-5.393932186E-1,-1.119914656E0,2.779368711E-1
4.058322501E-1,2.989197506E0,-6.242759326E-1,-8.312846160E-1
4.257512498E-1,2.273094706E0,-1.355404323E0,-1.584049312E0
4.456712501E-1,4.230229560E-1,-2.301242764E0,-1.798277845E0
4.655902497E-1,-6.934380419E-1,-2.044026232E0,-8.011083055E-1
4.855102501E-1,-3.786817655E-2,-1.131701546E0,-3.895286429E-1
5.054292497E-1,-1.066178232E0,5.611982167E-2,-1.056199520E0
5.253492501E-1,-6.545460910E-1,3.029614922E-1,-1.632286502E0
5.452682497E-1,6.396239966E-2,1.735089616E0,-1.219368412E0
5.651882500E-1,-6.824691769E-1,7.748028517E-1,1.649628174E-1
5.851072501E-1,-1.483818680E0,-4.606354630E-1,-1.817287143E0
6.050272500E-1,-2.613693702E0,-1.276972695E0,-3.148955424E0
6.249462501E-1,8.565327470E-1,-2.795035740E0,-5.361794427E0
6.448662500E-1,-5.451153916E0,2.698911608E0,-4.698571068E0
6.647852501E-1,1.266533808E0,1.254802977E0,-4.430242926E0
6.847052500E-1,4.353826177E-1,1.723034704E0,-4.322308588E0
7.046242501E-1,3.640005033E-1,-1.921010901E0,-5.719298455E0
7.245442499E-1,-4.085095089E-2,-3.007372114E0,-5.883463712E0
7.444632500E-1,-9.210358679E-1,-3.122700841E0,-4.965132766E0
7.643832499E-1,-4.670755863E-3,-4.662695476E0,-2.442080846E0
7.843022500E-1,3.282655007E-1,-5.653126684E0,4.078193182E-1
8.042222499E-1,-9.505547322E-1,-6.053645169E0,2.673325362E0
8.241412500E-1,3.020438448E-1,-5.515408384E0,3.721262766E0
