"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.443000097E-3,-7.571526170E-1,-3.313917518E-1,-2.486950606E-1
2.736199973E-2,-1.045348287E0,-6.355357170E-1,-1.381128728E-1
4.728200007E-2,-8.374590278E-1,-3.186675310E-1,-2.067891359E-1
6.720099971E-2,-6.454228759E-1,-1.734801829E-1,-2.568808198E-1
8.712100005E-2,-6.373080611E-1,-2.190096229E-1,-2.802761495E-1
1.070399997E-1,-7.492422462E-1,-5.076671243E-1,-3.739661276E-1
1.269600000E-1,-9.206491113E-1,-8.362474442E-1,-2.888952196E-1
1.468782499E-1,-9.416627288E-1,-1.017095208E0,-9.890849143E-2
1.667982498E-1,-9.088151455E-1,-1.253806114E0,-5.715144426E-2
1.867172499E-1,-1.168575048E0,-1.713405371E0,-1.262389123E-1
2.066372498E-1,-1.725072145E0,-1.367086411E0,-2.367371917E-1
2.265562499E-1,-1.961475611E0,-6.478146911E-1,-1.791761667E-1
2.464762498E-1,-1.879873395E0,2.287621349E-1,-1.617279202E-1
2.663952499E-1,-1.690769076E0,1.111223578E0,-6.338432431E-2
2.863152497E-1,-1.330170274E0,1.434741259E0,-7.932468504E-2
3.062342498E-1,-9.634524584E-1,1.380338550E0,1.003396362E-1
3.261542497E-1,-6.155982614E-1,1.140171051E0,4.692004919E-1
3.460732498E-1,-5.072879419E-2,2.180917263E0,1.548134923E0
3.659932497E-1,2.346668541E-1,1.550303817E0,2.419804096E0
3.859122498E-1,5.926432014E-1,1.246806622E0,2.420913458E0
4.058322501E-1,9.439148307E-1,-1.335005999E0,1.330533862E0
4.257512498E-1,7.152178288E-1,-1.784765244E0,8.814208508E-1
4.456712501E-1,1.510972977E-1,-8.921982050E-1,7.834737897E-1
4.655902497E-1,-3.691563010E-1,7.279946804E-1,9.521288276E-1
4.855102501E-1,-6.969427466E-1,2.117218018E0,1.497687936E0
5.054292497E-1,-6.723632812E-1,2.151972294E0,2.019787788E0
5.253492501E-1,-2.101288885E-1,8.659530878E-1,2.321888208E0
5.452682497E-1,5.852298737E-1,1.946754754E-1,2.242964029E0
5.651882500E-1,2.717457712E-1,2.366889715E0,1.150396824E0
5.851072501E-1,2.354883105E-1,1.150721788E0,1.875847578E0
6.050272500E-1,-3.248344958E-1,-3.998890519E-1,2.663570642E0
