"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.766399993E-2,5.972421169E-2,-1.848671287E-1,-1.939867623E-3
3.758199979E-2,-8.971854299E-2,-1.688919775E-2,4.242868349E-2
5.750099989E-2,-8.230961114E-2,1.558235586E-1,6.300372630E-2
7.741900021E-2,-4.681286868E-3,1.360449195E-1,5.986545235E-2
9.733700007E-2,4.926263541E-2,-1.574156433E-2,2.212954685E-2
1.172560002E-1,4.917662218E-2,-5.756649375E-2,1.651076041E-2
1.371740000E-1,1.590798050E-2,-2.723763883E-2,3.684028983E-2
1.570919999E-1,1.021103095E-2,8.001653105E-2,3.586476296E-2
1.770110000E-1,3.941907082E-3,9.213676304E-2,3.683176264E-2
1.969289999E-1,-3.522176528E-3,5.526922271E-2,3.653668985E-2
2.168470002E-1,1.456492953E-2,3.800744563E-2,2.408533730E-2
2.367659998E-1,1.981488662E-3,-7.829815149E-5,2.952513658E-2
2.566840001E-1,-1.310990658E-2,-1.876893453E-2,2.591548301E-2
2.766029998E-1,-1.175513305E-2,-1.711899787E-2,1.900190115E-2
2.965210001E-1,2.920729807E-3,-3.872402478E-3,3.269267501E-3
3.164390000E-1,-1.909898827E-3,2.029925399E-2,-9.879277088E-3
3.363580001E-1,-2.159493975E-2,2.421280183E-2,-1.746237092E-2
3.562759999E-1,-2.264209464E-2,4.109930713E-3,-2.234714106E-2
3.761939998E-1,-5.741612986E-3,-1.835219562E-2,-2.395595424E-2
3.961129999E-1,8.948504925E-3,-2.075668424E-2,-2.637675963E-2
4.160310002E-1,2.188935177E-3,-1.047776733E-2,-2.822261862E-2
4.359499998E-1,-8.479347453E-3,-2.494278830E-3,-2.299133502E-2
4.558680002E-1,-3.642878495E-3,-1.312132739E-2,-1.818701252E-2
4.757852498E-1,8.316009305E-3,-2.638007514E-2,-1.873404533E-2
4.957042499E-1,1.148594636E-2,-1.512939110E-2,-2.613948099E-2
5.156222498E-1,3.555356292E-3,1.316396426E-2,-3.391616046E-2
5.355402501E-1,-5.774981808E-3,2.451776713E-2,-3.375480324E-2
5.554592502E-1,-7.717163768E-3,2.233801037E-2,-2.332586050E-2
5.753772501E-1,-7.591889589E-4,7.153581828E-4,-1.254403125E-2
5.952952500E-1,6.017205771E-3,-1.313091442E-2,6.152148824E-3
6.152142501E-1,6.192273460E-3,-1.246755011E-2,1.292432286E-2
6.351322499E-1,-3.078615293E-3,1.745518297E-2,1.475442201E-2
6.550512500E-1,-1.622877829E-2,4.977383092E-2,1.238023769E-2
6.749692499E-1,-1.604696177E-2,5.078716204E-2,5.661335774E-3
6.948872502E-1,-1.414756291E-3,1.891391538E-2,8.379358798E-3
7.148062498E-1,1.144036464E-2,-1.682882756E-2,1.080735680E-2
7.347242502E-1,1.004468091E-2,-1.725412905E-2,6.786528509E-3
7.546422500E-1,1.192132710E-3,-4.691081122E-4,1.545407344E-3
7.745612501E-1,-6.671939511E-3,2.321027964E-2,-6.367095746E-3
7.944792500E-1,1.910629915E-3,2.604361810E-2,-9.394843131E-3
8.143972498E-1,1.336474158E-2,6.174385082E-3,-6.576412357E-3
