"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.766399993E-2,-2.624740554E-1,1.050216576E-1,-5.262459004E-1
3.758199979E-2,-2.274793468E-2,1.381531509E-1,-4.991651058E-1
5.750099989E-2,2.098995468E-1,2.905108698E-2,4.185846269E-2
7.741900021E-2,7.661065802E-2,2.195205554E-2,1.103960162E-1
9.733700007E-2,-2.678622647E-1,1.545312751E-1,5.001240492E-2
1.172560002E-1,-3.476215021E-1,2.251355635E-1,4.583924711E-2
1.371740000E-1,-7.930125430E-2,8.649157539E-2,1.353630424E-3
1.570919999E-1,7.178224660E-2,1.870151527E-2,2.904487431E-2
1.770110000E-1,4.312686995E-2,9.195188809E-2,-8.926885664E-2
1.969289999E-1,8.244362108E-2,5.271597471E-2,-9.596333385E-2
2.168470002E-1,1.340708077E-1,-1.437497769E-2,6.352415085E-2
2.367659998E-1,8.133857042E-2,-3.842497766E-2,2.952785432E-2
2.566840001E-1,7.248873644E-2,-5.106325921E-2,2.336488903E-2
2.766029998E-1,9.574194364E-2,-7.395492576E-2,3.356769562E-2
2.965210001E-1,8.748107046E-2,-5.530552380E-2,5.065442920E-3
3.164390000E-1,5.454896718E-2,-2.066150196E-3,-6.557301521E-2
3.363580001E-1,2.019306690E-2,1.135800810E-1,-4.881372571E-2
3.562759999E-1,2.706164494E-2,1.424549109E-1,1.276973426E-2
3.761939998E-1,6.718882017E-2,9.842822760E-2,4.551121831E-2
3.961129999E-1,1.309043942E-1,8.500364173E-2,5.061993062E-2
4.160310002E-1,1.016341829E-1,1.181128060E-1,-2.028925359E-2
4.359499998E-1,5.909671225E-2,1.553095029E-1,-4.581878185E-2
4.558680002E-1,4.984035060E-2,1.460753607E-1,-1.328253508E-2
4.757852498E-1,3.021365963E-2,1.086948419E-1,1.566410601E-2
4.957042499E-1,4.073755145E-3,7.484344672E-2,-1.353045702E-3
5.156222498E-1,-2.225983836E-2,7.325691439E-2,-3.037043810E-3
5.355402501E-1,-4.473383099E-2,6.428549487E-2,-1.034664810E-2
5.554592502E-1,-7.445376635E-2,2.663600419E-2,4.520482421E-3
5.753772501E-1,-9.548283890E-2,2.157659121E-2,-6.549466252E-3
5.952952500E-1,-1.206247699E-1,8.586928546E-3,-7.825328708E-3
6.152142501E-1,-1.063244538E-1,-1.347300813E-2,-3.470322490E-3
6.351322499E-1,-3.836277790E-2,-2.629057992E-2,-3.143112302E-2
6.550512500E-1,-8.575014845E-3,-1.918029260E-2,-3.655094504E-3
6.749692499E-1,-4.258607559E-2,-2.621781863E-3,-1.310477972E-2
6.948872502E-1,-1.012617152E-1,5.014528289E-2,1.512499273E-2
7.148062498E-1,-7.629607782E-2,1.107970621E-1,4.737238705E-2
7.347242502E-1,1.358417831E-2,1.538060011E-1,9.036287069E-3
7.546422500E-1,8.122593842E-2,1.632172408E-1,-3.126915514E-2
7.745612501E-1,1.054102416E-1,1.399587346E-1,-6.087360799E-2
7.944792500E-1,9.973800391E-2,1.130958219E-1,-4.311795294E-2
8.143972498E-1,9.418526866E-2,7.130884141E-2,1.063023806E-2
8.343162499E-1,9.869909987E-2,3.722110905E-2,3.283913255E-2
8.542342498E-1,4.610873066E-2,3.196442563E-2,3.778236866E-2
8.741532499E-1,3.978036225E-2,1.729058214E-3,6.522569060E-3
8.940712502E-1,3.019056313E-2,-1.905534491E-2,-4.577785134E-3
9.139892501E-1,2.222183146E-2,-5.206064802E-2,-3.132178009E-2
9.339082502E-1,6.803747043E-3,-4.718169473E-2,-2.381103158E-2
9.538262500E-1,-1.364469700E-2,-5.282740071E-3,7.779135704E-3
9.737442499E-1,-8.733277045E-2,3.011283170E-2,5.420368910E-3
9.936632500E-1,-1.159836886E-1,5.297040168E-2,2.788361728E-2
1.013581250E0,-1.280557039E-1,9.286171485E-2,-4.734490514E-3
1.033500250E0,-1.051866587E-1,1.308681050E-1,-1.390058577E-2
1.053418250E0,-8.515972584E-2,1.406351113E-1,-1.167221189E-2
1.073336250E0,-6.476302966E-2,1.246966977E-1,4.881255627E-3
1.093255250E0,-2.420191795E-2,6.130162418E-2,-1.667158127E-2
1.113173250E0,-6.473233178E-3,6.674194671E-2,-1.654762030E-2
1.133091250E0,1.607151076E-2,6.369616862E-2,4.577200413E-3
1.153010250E0,1.058287561E-2,6.457058318E-2,3.124752045E-3
1.172928250E0,6.502396166E-3,5.033444032E-2,-1.323166430E-2
1.192846250E0,3.538552187E-2,4.477940273E-2,-5.484103560E-3
1.212765250E0,7.196694553E-2,3.375045765E-2,1.513902605E-2
1.232683250E0,5.495695665E-2,2.106934525E-2,-3.514761329E-3
1.252602250E0,4.227800041E-2,4.212579008E-2,-1.630905390E-2
1.272520250E0,2.427259617E-2,4.962996047E-2,-3.344081104E-2
1.292438250E0,7.272576794E-2,3.446677811E-2,2.578855991E-2
1.312357250E0,9.618041173E-2,3.673659414E-3,5.828738451E-2
1.332275250E0,3.102408372E-2,1.931510746E-2,3.078559041E-3
1.352193250E0,7.367126271E-3,3.142187711E-2,-8.818185925E-3
1.372112250E0,-5.013841242E-3,1.741816107E-2,-1.550973952E-2
1.392030250E0,-2.058731541E-2,1.927322678E-2,-3.537916303E-2
1.411949250E0,-3.497826330E-2,6.536982447E-2,-2.463490427E-2
1.431867250E0,-2.997406997E-2,6.159325406E-2,-7.586177588E-3
1.451785250E0,-2.156650476E-2,8.022208113E-2,-2.360520959E-3
1.471705000E0,-4.100886226E-2,6.804123458E-2,8.191949129E-3
1.491623000E0,-3.756163627E-2,5.394195311E-2,-2.200833499E-2
1.511541000E0,-5.616703793E-2,8.860289533E-2,-2.537808537E-2
1.531460000E0,-3.529510930E-2,8.693537906E-2,2.210773766E-2
1.551378000E0,-2.138874941E-2,6.205865588E-2,1.327551842E-2
1.571297000E0,-8.221857637E-2,1.014078225E-1,-5.257757843E-2
1.591215000E0,1.445051640E-2,8.270433381E-2,-8.250421286E-4
1.611133000E0,4.951173708E-2,1.776351225E-2,7.017652810E-2
1.631052000E0,3.268768966E-2,1.169720873E-2,-1.519866765E-2
1.650970000E0,2.405252159E-2,4.322780751E-2,-4.401900887E-2
1.670888000E0,2.076770201E-2,4.919850904E-2,7.623599768E-3
1.690807000E0,3.714809194E-2,3.220843725E-2,1.965950847E-2
1.710725000E0,5.026018068E-2,4.221682392E-2,2.988921225E-2
1.730643000E0,6.695441991E-2,4.957181722E-2,-8.509452939E-3
1.750562000E0,6.851796538E-2,4.996339794E-2,-2.009863436E-2
1.770480000E0,2.720490173E-2,4.574963853E-2,-1.305683255E-2
1.790399000E0,8.387099952E-3,1.827057548E-2,2.194927812E-2
1.810317000E0,2.402036190E-2,1.568376727E-2,3.899800479E-2
1.830235000E0,4.174897358E-2,1.751036435E-2,3.290228248E-3
1.850154000E0,2.297604918E-2,5.740507621E-2,-2.044420481E-2
1.870072000E0,-7.241776586E-3,5.435191602E-2,-3.199830294E-2
1.889990000E0,-4.428783461E-2,4.281170502E-2,1.406372309E-2
1.909909000E0,-2.136996523E-2,3.033564717E-2,1.062146723E-2
1.929827000E0,2.410967812E-2,2.315643579E-2,1.512791634E-2
1.949745000E0,3.411265612E-2,2.932272669E-2,-1.736623049E-4
1.969664000E0,1.492077872E-2,6.410551026E-2,-1.259548724E-2
1.989582000E0,9.409631789E-4,7.000980936E-2,-1.192130327E-2
2.009501000E0,2.272374183E-3,1.245832618E-1,-2.861042619E-3
2.029419000E0,-1.700867325E-2,1.030070360E-1,1.932621717E-2
2.049337000E0,-3.947177544E-2,6.193549890E-2,-7.990804911E-3
2.069256000E0,-3.298809037E-2,5.560241617E-2,-3.100369155E-2
2.089174000E0,-2.647268414E-2,5.469543993E-2,-1.757380664E-2
2.109092000E0,-2.611059532E-2,3.039463095E-2,-7.469817996E-3
2.129011000E0,-4.097392514E-2,2.038507484E-2,2.184519768E-3
2.148929000E0,-3.623694956E-2,5.070752922E-2,-9.020499587E-3
2.168848000E0,-2.906753227E-2,8.536430530E-2,1.668502986E-2
2.188766000E0,-4.582901448E-2,9.403060980E-2,3.510668278E-3
2.208684000E0,-4.510205939E-2,6.002112050E-2,4.288932681E-3
2.228603000E0,7.091503143E-3,1.547688548E-2,-4.037502408E-2
2.248521000E0,3.483142510E-2,-3.584222596E-2,-5.461708724E-2
2.268439000E0,5.361925989E-2,-7.603331856E-2,-2.686444759E-2
2.288358000E0,2.978732452E-2,-5.332810510E-2,1.478468478E-2
2.308276000E0,3.162086517E-2,-4.641231079E-2,3.264266610E-2
2.328194000E0,2.396408245E-2,-2.866816744E-3,4.787758648E-2
2.348113000E0,4.215988666E-2,6.759246077E-2,1.380118310E-2
2.368031000E0,7.185526371E-2,1.164507715E-1,-1.218091965E-2
2.387950000E0,1.009543709E-1,1.377030981E-1,-4.655143797E-2
2.407868000E0,6.143304035E-2,2.722161014E-1,3.622700930E-2
2.427786000E0,-1.064242950E-1,2.176758320E-1,-3.891210920E-1
2.447705000E0,1.235431883E-1,-3.078390934E-2,2.760388649E-1
2.467622500E0,8.338451117E-2,-7.764630955E-2,2.811832452E-1
2.487540500E0,-1.058911751E-1,2.620254278E-2,-6.245060205E-2
2.507459500E0,-9.510218516E-2,4.432792459E-2,-8.316728711E-2
2.527377500E0,-1.773080438E-2,-3.534809969E-2,4.241745651E-2
2.547296500E0,1.561148107E-2,-6.668650780E-2,3.584226251E-2
2.567214500E0,1.641488850E-2,-9.984303452E-3,-5.246238828E-2
2.587132500E0,-1.134608343E-2,5.587803930E-2,-7.074370801E-2
2.607051500E0,-5.321083188E-2,5.064039588E-2,-7.561619282E-3
2.626969500E0,-6.167847723E-2,5.444072060E-2,4.795418501E-2
2.646887500E0,-1.244769886E-2,8.409176845E-2,4.161521852E-2
2.666806500E0,4.690402508E-2,1.230915274E-1,-2.097980976E-2
2.686724500E0,2.731088251E-3,1.159105984E-1,-5.358739257E-2
2.706643500E0,1.187028632E-2,7.372330293E-2,-1.343105435E-2
2.726561500E0,6.211453333E-2,5.050375376E-2,4.097904146E-2
2.746479500E0,6.620714575E-2,3.135361087E-2,2.338301539E-3
2.766398500E0,5.138796240E-2,3.650917400E-2,-1.273172736E-2
2.786316500E0,3.066996172E-2,3.918672368E-2,-1.718379736E-2
2.806234500E0,3.428631842E-2,1.692582551E-2,2.768890500E-2
2.826153500E0,3.797021046E-2,1.856176682E-2,9.742045999E-3
2.846071500E0,4.720311016E-2,6.129928529E-3,-2.020563841E-2
2.865989500E0,9.162002206E-3,3.043585382E-2,-3.668543100E-3
2.885908500E0,-2.152213901E-3,2.208084047E-2,-9.797009826E-3
2.905826500E0,-3.490743890E-2,2.357407317E-2,-8.616456985E-3
2.925745500E0,-4.082613677E-2,2.585836105E-2,-1.852397919E-3
2.945663500E0,-3.188486695E-2,5.553564828E-2,-1.697037399E-2
2.965581500E0,-3.359327719E-2,4.338111419E-2,-7.024844885E-3
2.985500500E0,-2.377916425E-3,5.225656629E-2,-9.103530049E-3
3.005418500E0,3.025685593E-2,7.533139687E-2,4.366700649E-3
3.025336500E0,1.701612845E-2,7.044542693E-2,-1.235867500E-2
3.045255500E0,-3.690382451E-2,4.095784530E-2,1.481859863E-2
3.065173500E0,-3.583407640E-2,5.044411216E-2,2.148442447E-2
3.085091500E0,2.151819214E-2,6.689123344E-2,-5.016911030E-3
3.105010500E0,1.427422285E-2,5.531297900E-2,-1.669613957E-2
3.124928500E0,2.681372300E-2,3.656793851E-2,-3.554756284E-2
