"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.007529140E-2,-1.157181519E-1,3.196684492E-1,-9.351118702E-1
3.999329172E-2,6.198916903E-1,1.039307499E-1,8.896591240E-1
5.991229136E-2,3.441188738E-1,-6.298094451E-2,1.262744227E0
7.983129146E-2,-5.398529559E-2,-1.705024695E-1,3.714034438E-2
9.975029156E-2,-2.488069198E-1,-6.549407780E-2,-6.784606183E-1
1.196682914E-1,-2.588132599E-1,-7.354452431E-2,-3.482952476E-1
1.395872915E-1,-3.295645693E-1,-1.747013551E-1,-1.873670089E-1
1.595062916E-1,-3.344060639E-1,2.185005087E-1,7.383630037E-2
1.794252917E-1,5.722938931E-1,-1.653990197E-1,-2.670908707E-1
1.993442914E-1,-1.513563466E-1,4.309438866E-1,-7.637481058E-1
2.192622917E-1,-7.988042101E-1,6.448584241E-1,-1.168430977E0
2.391812918E-1,-7.574354517E-1,9.806739593E-1,-1.698790979E0
2.591002914E-1,-1.059999918E0,1.673651752E0,-3.514177192E0
2.790192915E-1,-9.073753104E-1,9.090677869E-1,-4.061843782E0
2.989382916E-1,-1.710143494E0,2.176626027E-2,-1.255908247E0
3.188562915E-1,-1.236831414E0,7.119264261E-1,2.362201449E0
3.387752916E-1,-5.348690817E-1,2.400855637E0,2.976767787E0
3.586942917E-1,5.996454138E-1,1.953010081E0,4.123464079E0
3.786132918E-1,2.056895808E0,3.748576865E-2,3.845399154E0
3.985322914E-1,2.213928339E-1,-1.161472352E0,1.393696130E0
4.184502917E-1,2.518586401E0,-2.987391593E0,1.870571065E-1
4.383692914E-1,2.870015464E0,-4.091027820E0,-3.524402803E0
4.582882915E-1,-1.501478148E0,-3.669291544E0,-4.530976419E0
4.782072916E-1,-2.559271620E0,-5.730613402E-1,-3.563317192E0
4.981252914E-1,-1.089568995E0,-7.025118242E-1,-8.271623290E-1
5.180442915E-1,2.352102430E-1,1.092301253E0,1.573983330E0
5.379632916E-1,2.205163070E0,8.501899798E-1,4.919057876E-1
5.578822917E-1,8.680814365E-1,-1.066422792E0,-2.124060727E0
5.778012914E-1,-3.672033303E0,-2.320971854E0,-3.290372674E0
5.977192917E-1,9.155894789E-1,2.016831271E0,-5.206393561E0
6.176382913E-1,-5.059624940E-2,1.316114396E0,-3.457328222E0
6.375572914E-1,-4.937051220E-1,-2.071861464E0,-4.615710175E0
6.574762915E-1,-3.679691402E0,-3.360024414E0,-2.773331460E0
6.773952916E-1,-5.038918780E0,-3.361109950E0,-4.217041165E0
6.973132915E-1,6.683287822E-1,-3.040332284E0,-7.354423195E0
7.172322916E-1,-2.228658937E-2,-3.833869030E0,-5.789898321E0
7.371512917E-1,-1.971798501E0,-3.994961283E0,-6.785676808E0
7.570702913E-1,-2.926967052E-1,-3.726094905E0,-5.257976528E0
7.769892914E-1,3.265931605E0,-2.517630381E0,-2.831769118E0
7.969072917E-1,2.513990197E0,-2.551382556E0,8.839054638E-1
8.168262914E-1,-1.182298161E0,-4.741653645E0,4.813775250E0
8.367452915E-1,-3.180603772E0,-6.397466127E0,6.306995083E0
8.566642916E-1,-1.763474486E0,-4.780801046E0,4.522794410E0
8.765832917E-1,6.506326226E-1,-4.229553621E0,5.192469002E0
8.965012915E-1,2.707069643E0,-3.311928434E0,4.600680492E0
9.164202916E-1,4.733553497E0,-1.707712076E0,4.245106046E0
9.363392917E-1,5.835934619E0,-5.274223602E-1,6.200995004E0
9.562580413E-1,6.409837081E0,1.571107085E0,8.547934635E0
9.761760416E-1,-9.145420233E-1,-2.229275818E0,7.205627344E0
9.960950417E-1,4.951646236E-1,-1.013125421E0,3.860762129E0
1.016014041E0,1.386489583E0,5.737033644E-1,2.118795894E0
1.035933041E0,2.399444996E0,1.316688884E0,2.050738982E0
1.055852042E0,1.601242903E0,3.481791219E0,1.409508170E0
1.075770041E0,1.173454905E0,3.065004610E0,3.137115397E0
1.095689042E0,-2.483839614E0,2.129418531E-1,7.966784549E0
1.115608042E0,-7.080754207E0,-1.512672350E0,5.067465472E0
1.135527042E0,-3.807923472E0,-2.816475141E-1,2.798746968E0
1.155446041E0,3.460948672E-1,1.387840728E0,1.579400191E0
1.175364042E0,-1.211704613E-1,8.432249227E-1,-1.388793824E0
1.195283041E0,9.421344493E-1,1.301448117E0,-3.193241651E0
1.215202041E0,4.927873723E0,2.717224210E0,-1.232269709E0
1.235121042E0,3.185261079E0,8.458789739E-1,-7.476612461E-1
1.255040042E0,8.346572900E-1,-4.185986602E-1,-1.468427054E0
1.274958041E0,5.517913623E-1,1.728538396E0,-4.187197561E0
1.294877042E0,5.011853188E-1,9.348648253E-1,2.652018108E0
1.314796042E0,-1.884615492E0,1.244559386E-1,1.710201235E0
1.334715041E0,-1.062440546E0,1.472667163E0,-2.530291357E0
1.354634041E0,1.435544068E-1,1.580740373E0,-5.691451675E-1
1.374552042E0,-2.887290770E-1,-5.090281892E-1,1.020838484E0
1.394471041E0,-5.955946382E0,-2.693277231E0,5.895165160E0
1.414390041E0,-4.787197316E-1,9.053945661E-2,2.306868078E0
1.434309042E0,-2.931199851E0,-3.398986459E-2,3.479697915E0
1.454228042E0,-4.472433511E0,2.210261842E0,-2.744015275E0
1.474146042E0,-4.706291732E0,1.628394011E0,4.319396675E-2
1.494065042E0,-3.230753878E0,1.489411249E0,-1.271689882E0
1.513984042E0,1.351453505E0,1.292582861E0,-1.273194722E1
1.533903041E0,1.096900234E0,-5.755461144E-1,-7.731066914E0
1.553821042E0,-4.407021294E0,-1.715319011E0,-9.669803649E-1
1.573740041E0,-3.340521319E0,-5.308026356E-1,-3.125268646E0
1.593659041E0,-3.032944327E0,-7.997739708E-1,9.178513281E-1
1.613578042E0,2.074787995E0,-5.577822733E-1,7.904859611E0
1.633497042E0,5.518807370E0,-4.969665527E-2,2.819774725E0
1.653415042E0,1.246615034E1,5.116254054E0,-7.178850020E0
1.673334042E0,6.382098475E0,1.893425492E0,-3.043827749E0
1.693253042E0,1.135106526E0,1.849450922E-1,-9.824117517E-1
1.713172041E0,2.436452901E-1,6.781518853E-1,-4.556126682E-1
1.733091041E0,-1.839915283E0,2.868933436E0,-7.310094722E-1
1.753009042E0,-2.682476839E0,1.635260396E0,5.010257629E-1
1.772928041E0,-1.962053677E0,2.068550186E0,2.861889296E0
1.792847042E0,1.350882817E0,3.567494443E0,1.064620169E0
1.812766042E0,5.648392779E-1,6.763702387E-1,-1.730422661E0
1.832684041E0,1.259582638E0,-3.618614895E0,-8.630233026E-1
1.852603042E0,3.465996720E0,-7.192319081E0,1.555434208E0
1.872522042E0,1.273511290E0,-8.115874515E0,1.700979592E0
1.892441042E0,2.492323047E-1,-3.207891265E0,-1.650407023E0
1.912360041E0,-2.334841742E0,5.567139870E-1,-1.794811031E0
1.932278042E0,-2.099191934E0,1.617376687E0,2.912047881E0
1.952196458E0,5.105981666E-1,4.817193532E-1,3.704620786E-1
1.972115458E0,3.086698365E-1,3.911845744E-2,-1.654177308E0
1.992034458E0,3.955559528E-1,-6.844616157E-1,-2.809189510E-1
2.011952458E0,5.265593112E-2,-8.475562477E-1,4.387259459E-1
2.031871458E0,2.918839422E-1,-1.494799751E-1,-5.919463849E-1
2.051790458E0,1.190012758E0,1.588945186E0,-9.366292226E-1
2.071709458E0,-9.335132414E-1,2.342738407E0,2.733222485E-2
2.091628458E0,-1.273670627E0,4.897926039E-1,6.771028948E-1
2.111546458E0,3.045121738E-1,-4.826268411E-1,4.506050762E-1
2.131465458E0,-3.974001646E-2,4.848394275E-1,8.804034933E-1
2.151384458E0,1.664731532E-2,9.052834690E-1,-5.581458970E-1
2.171303458E0,5.966656727E-1,5.376315987E-1,-5.692077327E-1
2.191221458E0,-6.072216511E-2,1.329609477E0,-8.080770902E-1
2.211140458E0,5.915853193E-1,3.923931938E-1,-7.706244314E-1
2.231059458E0,1.243510104E0,-1.761567271E0,-1.430907226E-1
2.250978458E0,-6.589487520E-1,-3.047849464E-1,-2.067762566E-1
2.270897458E0,8.571024120E-2,-5.428823984E-1,2.697437525E-2
2.290815458E0,-7.392438868E-1,-4.309438866E-1,8.088000253E-2
2.310734458E0,-3.218830821E-1,-8.710807657E-1,-2.727484904E-2
2.330653458E0,-1.678715149E-1,4.903404880E-1,-4.337335201E-1
2.350572458E0,-6.796651447E-1,1.640622877E0,1.156953478E-1
2.370490458E0,-4.104903263E-1,2.269128978E0,-1.502507843E-2
2.390409458E0,-5.629257765E-1,3.134180680E0,-7.340523633E-1
2.410328458E0,-2.976362575E0,3.641369920E0,-1.625525951E0
2.430247458E0,-1.832283497E-2,5.763483524E-1,-1.074279696E0
2.450166458E0,9.581493151E-1,7.277736962E-2,4.052586763E-1
2.470084458E0,1.492025247E-1,1.950153424E0,7.185817270E-1
2.490003458E0,5.267961234E-2,6.136266911E-1,-4.518048517E-1
2.509922458E0,-1.163127261E0,6.155662125E-1,-3.028192587E-1
2.529841458E0,-9.380518502E-1,1.234815001E-1,9.974304713E-2
2.549759458E0,-1.199424729E-1,-2.193922091E-1,8.900514722E-2
2.569678458E0,-3.278234147E-1,-1.022204393E-1,-6.491904069E-1
2.589597458E0,-1.585299300E0,-6.798382223E-2,6.232360784E-1
2.609516458E0,-1.582241791E0,6.452572042E-1,-9.973127961E-2
2.629435458E0,-2.112269232E0,3.173127229E0,5.894051850E-1
2.649353458E0,-1.515512343E0,3.851943358E0,-1.202563222E-1
2.669272458E0,1.097514338E0,1.574863921E0,-8.730246726E-1
2.689191458E0,4.429264687E0,-1.787121942E0,-1.025015881E0
2.709110458E0,1.886917541E0,-5.042555164E0,-1.960781908E-1
2.729029458E0,-7.188360809E-1,-8.666207435E0,6.833488905E-1
2.748947458E0,2.816863981E0,-6.081739286E0,1.093514989E0
2.768866458E0,7.034045479E-1,-3.030600763E0,9.716786027E-1
2.788785458E0,-2.016915471E0,-6.413635433E-1,-9.929039955E-2
2.808704458E0,-8.302356255E-1,-8.017234325E-2,3.483771086E-3
2.828622458E0,1.020048232E0,1.719834523E0,-3.859032230E-1
2.848541458E0,1.019902491E0,4.801425346E0,-5.807898974E-1
2.868460458E0,3.302284622E0,-1.229194658E0,2.781777763E-1
2.888379458E0,2.037844556E0,-2.837677145E0,9.304279581E-1
2.908298458E0,7.426039892E-1,-1.055662746E0,-2.355245309E-1
2.928216458E0,9.603229444E-1,2.760113829E0,-1.161473668E0
2.948135292E0,-1.246372023E0,5.015683115E-1,-5.544669020E-1
2.968054291E0,1.074561385E0,-1.372697609E0,-2.600734811E-1
2.987973291E0,1.168300146E0,-1.385628142E0,-3.006006789E-1
3.007891292E0,1.498374446E0,2.676738381E-2,-1.149749562E0
3.027810291E0,1.742806772E0,-3.773559093E-2,-1.099667137E0
3.047729291E0,2.850143774E-1,-2.229993564E-1,-7.401054740E-1
3.067648292E0,-9.104252180E-1,-6.672298712E-1,-4.640060905E-1
3.087566291E0,-5.011862690E-1,-1.219753159E0,-2.696180373E-2
3.107485292E0,-8.071934297E-1,-7.470373482E-1,-2.121808380E-2
3.127404292E0,9.867600337E-2,-9.741051972E-1,2.127351540E-1
3.147323292E0,-2.696443498E-3,-1.100746533E0,-3.524431162E-1
3.167242291E0,2.270921150E-1,-9.379384142E-1,-9.878354828E-1
3.187160292E0,7.575639443E-1,-1.114789206E0,-9.651250434E-1
3.207079291E0,-1.380919379E-1,-5.022331399E-1,-7.714456728E-1
3.226998291E0,9.462645569E-1,-4.109013855E-2,-6.756948853E-1
3.246917292E0,6.516008484E-1,3.192983204E-1,-9.201731113E-1
3.266835291E0,7.183889151E-2,4.537106055E-1,-7.734521449E-1
3.286754292E0,1.128645937E0,8.092347658E-1,-6.470014286E-1
3.306673292E0,5.259704965E-1,5.677394968E-1,-2.567763823E-1
3.326592292E0,1.005554739E0,7.925228387E-1,-9.574669451E-2
3.346511291E0,6.398730880E-1,2.155254453E-1,-9.408608526E-2
3.366429292E0,9.095636308E-3,1.477412471E0,-5.849493143E-1
3.386348292E0,1.180623007E0,1.190874345E0,-5.451976034E-1
3.406267291E0,3.137917051E-1,1.375258105E0,-6.360253277E-1
3.426186292E0,1.447149621E0,1.123319124E0,-3.328831565E-1
3.446104291E0,4.343227002E-1,1.117159082E0,-1.782640636E-2
3.466023291E0,1.820001420E-1,1.458060526E0,3.481671935E-1
3.485942292E0,-1.972467569E-1,1.691922255E0,9.124755442E-2
3.505861292E0,-1.126106492E-1,1.373592818E0,-3.984552947E-1
3.525779292E0,-1.415511507E-1,1.427959059E0,-3.014257210E-1
3.545698292E0,6.547448963E-1,1.456453126E0,3.532019386E-1
3.565617292E0,1.151103046E0,9.312527078E-1,4.014996475E-1
3.585536291E0,1.237494780E0,1.082806690E0,2.645227736E-1
3.605454292E0,1.390090444E0,7.021231306E-1,1.102346331E-2
3.625373292E0,2.194927812E0,1.648675078E0,2.735960443E0
3.645292291E0,1.044513860E0,1.132571758E0,-1.978259236E-1
3.665211292E0,2.237800766E0,1.017918384E-1,-1.365637681E-1
3.685129291E0,2.363179980E0,-1.711649591E-1,-6.542189392E-1
3.705048291E0,2.437320628E0,-2.026159042E0,-1.265416697E0
3.724967292E0,3.694636300E-2,-4.603764313E0,-3.576751170E0
3.744886292E0,-1.427160915E0,-1.040465014E1,-1.233747885E-1
3.764805292E0,7.355373952E0,-7.953062888E0,-6.265502071E0
3.784723292E0,-8.765073912E0,3.891590989E-1,4.519218545E0
3.804642292E0,-1.647651815E0,8.560883878E0,-3.377699670E-1
3.824561291E0,1.374864149E0,2.611869956E0,2.471406679E0
3.844480291E0,1.278642222E0,-4.817205226E-1,1.275393216E0
3.864398291E0,-1.450109482E-1,-4.601382158E0,2.168202235E0
3.884317291E0,-3.555334427E-1,-2.997846415E0,3.330078192E0
3.904236292E0,-3.644998409E0,-8.953636676E-1,1.541531868E0
3.924155292E0,-2.864983642E0,1.168705797E0,-6.019237813E-1
3.944073291E0,-1.370274377E0,2.527233263E0,-1.226911612E0
3.963992333E0,7.624883232E-1,3.435412858E0,-5.048203866E-1
3.983911333E0,8.738707647E-1,2.896360386E0,3.398297949E-1
4.003830333E0,1.566287079E-1,1.997338116E0,8.257588510E-1
4.023749333E0,1.052355853E0,2.051120220E0,7.041649783E-1
4.043667333E0,4.458310439E-1,1.722423086E0,8.232025945E-1
4.063586333E0,-2.543703993E-1,8.524895436E-1,3.576788592E-1
4.083505333E0,-1.939669074E-1,8.707907438E-2,9.809654430E-2
4.103424333E0,3.715671659E-1,-4.883693916E-1,2.241611981E-1
4.123342333E0,8.092072839E-1,-4.635871375E-1,4.139602102E-2
4.143261333E0,1.621163490E0,-2.017131525E-1,3.415958002E-2
