"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.257641660E-2,-6.452371478E-1,-9.331399202E-1,5.964579806E-2
3.249541670E-2,-1.038327575E0,-1.027797103E0,1.703336835E-1
5.241441680E-2,-8.680204153E-1,-6.437216997E-1,-4.910462350E-2
7.233341690E-2,-4.545247555E-1,-9.759575874E-2,-2.230426371E-1
9.225141676E-2,-1.929591894E-1,7.747139316E-3,-2.991075814E-1
1.121704169E-1,-1.910445094E-1,-3.145636618E-2,-2.910456061E-1
1.320894165E-1,-3.365603089E-1,-5.707743391E-2,-2.698377967E-1
1.520084166E-1,-5.004924536E-1,-1.514670104E-1,-1.611981392E-1
1.719274167E-1,-5.880883336E-1,-2.882079780E-1,-1.926498562E-1
1.918464168E-1,-5.441830754E-1,-2.527279854E-1,-3.221620023E-1
2.117644167E-1,-5.268764496E-1,-3.573488295E-1,-3.289480507E-1
2.316834168E-1,-7.216843367E-1,-6.616100073E-1,-3.213084638E-1
2.516024169E-1,-1.236018538E0,-1.217819452E0,-2.803514600E-1
2.715214165E-1,-2.288482428E0,-1.696236014E0,-2.080833763E-1
2.914404166E-1,-3.171848774E0,-3.734038472E-1,-6.029529572E-1
3.113594167E-1,-3.371891975E0,1.816534996E-1,-7.309727073E-1
3.312774166E-1,-2.566933393E0,1.256780148E0,-4.771518409E-1
3.511964167E-1,-1.419298649E0,2.512244701E0,6.653327942E-1
3.711154168E-1,-2.981541157E-1,2.593815088E0,1.539903998E0
3.910344169E-1,5.972014070E-1,4.289741814E-1,1.324857950E0
4.109534165E-1,9.218416810E-1,1.577263027E-1,1.126803279E0
4.308724166E-1,7.670140266E-1,-1.660669595E-1,1.052345753E0
4.507904169E-1,1.063019395E0,-4.694446325E-1,1.258162379E0
4.707094165E-1,1.754038095E0,-1.524756253E-1,1.035328746E0
4.906284166E-1,1.650479555E0,-1.142917871E0,2.737466395E-1
5.105474168E-1,1.298089981E0,-2.053037405E0,1.732967496E-1
5.304664169E-1,8.545709252E-1,-1.922626853E0,-5.654055476E-1
5.503854165E-1,5.444198847E-1,-1.417309761E0,-8.665696979E-1
