"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.478250165E-3,-8.747218251E-1,-9.868304729E-1,7.519400120E-2
2.439825004E-2,-8.734868169E-1,-8.275678158E-1,-7.726930827E-2
4.431725014E-2,-7.156063914E-1,-4.240912199E-1,-3.565491438E-1
6.423625024E-2,-1.009975076E0,-3.328658640E-1,-1.142821833E-1
8.415625012E-2,-1.742392659E0,-6.635311842E-1,3.469131291E-1
1.040752502E-1,-2.157829762E0,-1.139658570E0,2.180161327E-1
1.239952501E-1,-2.101426363E0,-1.576894403E0,-2.108129859E-1
1.439142502E-1,-2.239952087E0,-1.358471751E0,-5.100439191E-1
1.638332503E-1,-2.420285940E0,-8.582302332E-1,-4.558150172E-1
1.837532502E-1,-1.661632895E0,-8.128919601E-1,-1.013717130E-1
2.036722503E-1,-7.771685123E-1,-8.222606182E-1,2.101217210E-1
2.235912504E-1,-1.976512522E-1,-7.440450191E-1,3.484401703E-1
2.435112502E-1,-1.374789923E-1,-5.444312692E-1,2.361794263E-1
2.634302503E-1,-1.628597081E-1,8.002541959E-2,2.457340509E-1
2.833502502E-1,-6.307018548E-2,5.997216702E-1,4.872486591E-1
3.032692503E-1,4.102769494E-1,4.275275171E-1,1.112664700E0
3.231882500E-1,3.306477666E-1,-1.333897114E-1,1.032149076E0
3.431082503E-1,-1.925949901E-1,1.040263101E-1,8.219347596E-1
3.630272504E-1,-3.664476275E-1,8.550589085E-1,9.653918147E-1
3.829462500E-1,1.923301667E-1,1.393423200E0,1.382036686E0
4.028662504E-1,1.187011003E0,1.648509502E0,1.676157355E0
4.227852500E-1,2.139118195E0,2.481866360E0,1.521816969E0
4.427052503E-1,2.714877129E0,2.104796171E0,8.090986013E-1
4.626242500E-1,1.933587551E0,-1.006099224E0,4.864340127E-1
4.825432501E-1,6.935238838E-1,-2.551602602E0,7.832110524E-1
5.024632500E-1,6.066698432E-1,-1.243268847E0,9.418305159E-1
5.223822501E-1,4.777621031E-1,-9.300192595E-1,8.399768472E-1
5.423012502E-1,2.044143677E-1,-1.277947426E0,1.140832901E0
5.622212500E-1,-7.386847138E-1,-1.427934170E0,9.340279698E-1
5.821402501E-1,-2.459395885E0,-7.743675709E-1,1.407502890E0
6.020602500E-1,-3.728719950E0,2.444048226E-1,3.171851873E0
6.219792501E-1,-4.353563309E0,1.142750144E0,4.649769306E0
6.418982502E-1,-4.064254284E0,1.480990767E0,5.732939720E0
6.618182501E-1,-3.062498569E0,1.869925261E0,5.075477600E0
6.817372502E-1,-7.458233833E-1,2.245322615E-1,2.750169754E0
7.016562503E-1,8.529216051E-1,-1.793471336E0,1.556944847E0
7.215762502E-1,8.459301293E-2,-8.709346056E-1,2.024861336E0
7.414952503E-1,-1.341470957E0,-1.483558536E0,1.696811199E0
7.614152501E-1,-1.346096277E0,-2.373184681E0,1.043799877E0
7.813342502E-1,-1.029845357E0,-2.120271683E0,6.280715466E-1
8.012532503E-1,-1.311227798E0,-1.066977859E0,1.483503938E0
8.211732502E-1,-2.121302843E0,-1.164319515E0,2.487018347E0
8.410921670E-1,-2.119496107E0,-1.811823249E0,2.457111597E0
8.610111671E-1,-2.569488525E0,-7.174931169E-1,2.734471560E0
8.809311669E-1,-2.768185139E0,3.731489182E-1,3.096475840E0
9.008501670E-1,-2.004179239E0,8.082115054E-1,3.494825840E0
9.207701669E-1,-3.465663493E-1,4.073134959E-1,3.595037699E0
9.406891670E-1,-1.731488347E0,1.762589455E0,2.088844538E0
9.606081666E-1,-1.521428108E0,1.375919819E0,9.541705251E-1
9.805281670E-1,2.479775399E-1,-4.614404440E-1,4.339486957E-1
1.000447167E0,-2.132168412E-1,-8.851841092E-1,1.004128814E0
1.020367167E0,-6.928464174E-1,-2.832277417E-1,1.059894085E0
1.040286167E0,-6.479442716E-1,3.215973452E-2,1.324846148E0
1.060205167E0,-9.361330867E-1,1.785439104E-1,2.307712555E0
1.080125167E0,-1.112926126E0,-6.287207603E-1,2.370929241E0
1.100044167E0,-1.896929979E0,-7.555060983E-1,2.403017044E0
1.119963167E0,-1.513149261E0,-4.019250274E-1,1.707548022E0
1.139883167E0,-6.820545197E-1,1.858095378E-1,9.994315505E-1
1.159802167E0,-1.008157372E0,6.621823311E-1,3.261687160E-1
1.179721167E0,-1.388964295E0,1.852167845E-1,-2.217420638E-1
1.199641167E0,-1.432014704E0,1.790106148E-1,-6.185647845E-1
1.219560167E0,-1.363751769E0,-1.338142604E-1,-5.211842060E-1
1.239480167E0,-9.047383666E-1,-2.161182463E-1,-6.236770153E-1
1.259399167E0,-5.010947585E-1,-5.019372106E-1,-4.664807022E-1
1.279318167E0,-4.094105065E-1,-8.452695608E-1,-1.041387394E-1
1.299238167E0,8.189280331E-2,-1.073345542E0,-2.292860001E-1
1.319157167E0,3.919803500E-1,-1.072325468E0,2.823208272E-2
1.339077167E0,5.224084258E-1,-1.112574697E0,8.299220800E-1
1.358996167E0,3.040282428E-1,-1.265475392E0,9.526898265E-1
1.378915167E0,4.844791815E-2,-1.332125902E0,7.664787173E-1
1.398835167E0,5.342959240E-2,-9.077928662E-1,1.003783226E0
1.418754167E0,3.489519060E-1,-8.141189218E-1,1.224159479E0
1.438673167E0,8.190213144E-2,-7.737278938E-1,1.392893076E0
1.458593167E0,-2.654045224E-1,-5.468444824E-1,8.660998344E-1
1.478512167E0,-4.664530754E-1,-6.894412041E-1,3.218506575E-1
1.498432167E0,-4.854267836E-1,-1.202325344E0,-1.893915795E-2
1.518351167E0,-4.555436075E-1,-1.369240403E0,-1.697552949E-1
1.538270167E0,-5.088087916E-1,-1.305384278E0,-2.385423481E-1
1.558190167E0,-4.887440503E-1,-1.339960098E0,-2.277046144E-1
1.578109167E0,-4.370837510E-1,-1.041154981E0,1.576766223E-1
1.598028167E0,-2.364732325E-1,-8.330680728E-1,1.899195164E-1
1.617948167E0,-3.048592806E-1,-4.093944728E-1,1.064981297E-1
1.637867167E0,-2.450869977E-1,-5.559862852E-1,-1.231560949E-2
1.657787167E0,-5.297063589E-1,-9.391284585E-1,3.737655282E-1
1.677706167E0,-1.547226906E0,-1.851318121E0,8.947277069E-1
1.697625167E0,-2.068630457E0,-2.691815376E0,1.183183312E0
1.717545167E0,-1.774243593E0,-2.635836840E0,1.796208024E0
1.737464167E0,-1.546257257E0,-1.920497537E0,1.566774845E0
1.757383167E0,-1.002615571E0,-1.387268066E0,6.558485627E-1
1.777303167E0,-1.792608351E-1,-3.933002651E-1,-7.360106707E-2
1.797222167E0,3.358634412E-1,-5.239674449E-1,-7.937107235E-2
1.817142167E0,5.598813891E-1,-4.446581900E-1,-4.526129924E-3
1.837060792E0,4.442554116E-1,-1.151355132E-1,-7.071047276E-2
1.856979792E0,5.194055662E-2,8.898492903E-3,-2.331459969E-1
1.876899792E0,-1.641314030E-1,3.356273174E-1,-2.598755956E-1
1.896818792E0,-2.432408929E-1,5.137061477E-1,-2.820554674E-1
1.916737792E0,-2.174014300E-1,3.519775569E-1,-3.081611097E-1
1.936657792E0,-5.161480606E-2,1.209110674E-2,-2.054075748E-1
1.956576792E0,1.153169274E-1,-1.504637152E-1,-1.706842035E-1
1.976496792E0,2.304274738E-1,-3.467922509E-1,-1.643413603E-1
1.996415792E0,2.469526678E-1,-5.177561641E-1,-7.547593862E-2
2.016334792E0,1.156391650E-1,-7.569604516E-1,-9.506401420E-2
2.036254792E0,5.152644217E-2,-1.112128735E0,-1.995819062E-1
2.056173792E0,1.501298845E-1,-1.367810488E0,-2.795731425E-1
2.076092792E0,2.937821746E-1,-1.285879374E0,-2.280545533E-1
2.096012792E0,4.642080367E-1,-1.012805700E0,-2.023707628E-1
2.115931792E0,4.476062357E-1,-1.071789384E0,-9.757377952E-2
2.135851792E0,3.718314171E-1,-1.335802436E0,1.350069940E-1
2.155770792E0,5.446146727E-1,-1.803455710E0,2.339900434E-1
2.175689792E0,6.571171284E-1,-2.213523626E0,1.693804264E-1
2.195609792E0,5.381153822E-1,-2.456547737E0,1.433251202E-1
2.215528792E0,4.818941355E-1,-2.250210524E0,7.271672785E-2
2.235447792E0,4.797020555E-1,-1.594406128E0,1.850232929E-1
2.255367792E0,2.939737737E-1,-1.081647277E0,4.153795242E-1
2.275286792E0,1.123189777E-1,-8.412613273E-1,5.661231875E-1
2.295205792E0,4.737365246E-2,-1.021415830E0,5.901787281E-1
2.315125792E0,5.191679299E-2,-1.077436686E0,5.743984580E-1
2.335044792E0,-6.660632789E-2,-1.107242227E0,6.413891912E-1
2.354964792E0,-2.421109974E-1,-1.242575169E0,7.261829376E-1
2.374883792E0,-3.840630651E-1,-1.444306970E0,7.456557155E-1
2.394802792E0,-5.293462276E-1,-1.384505033E0,5.825607777E-1
2.414722792E0,-4.362206459E-1,-1.445195317E0,3.612979352E-1
2.434641792E0,-1.295721382E-1,-1.186603904E0,2.371461540E-1
2.454560792E0,-6.255915016E-2,-6.911434531E-1,3.326628208E-1
2.474480792E0,-8.942734450E-2,-2.619765997E-1,7.314362526E-1
2.494399792E0,-5.088774562E-1,-6.958508492E-2,5.104367733E-1
2.514319792E0,-6.871879101E-1,5.130722523E-1,6.219457835E-2
2.534238792E0,-1.528130412E0,3.599428236E-1,-3.464936018E-1
2.554157792E0,-1.721941710E0,-8.041821122E-1,-1.391201615E-1
2.574077792E0,-9.210651517E-1,-6.661243439E-1,-2.038474828E-1
2.593996792E0,-2.607650757E-1,-7.455886900E-2,4.263605550E-2
2.613915792E0,-2.532365322E-1,-9.488900006E-2,3.001967669E-1
2.633835792E0,-8.281592727E-1,-5.484251976E-1,2.775463164E-1
2.653754792E0,-9.106140733E-1,-9.197682142E-1,3.825166523E-1
2.673673792E0,-2.988719642E-1,-6.607403159E-1,3.792747855E-1
2.693593792E0,1.157216132E-1,-2.074894905E-1,4.633049965E-1
2.713512792E0,3.018286824E-1,1.652624086E-2,4.056164026E-1
2.733432792E0,4.165429473E-1,-1.066884518E0,2.176374346E-1
2.753351792E0,7.425726652E-1,-1.843071342E0,-1.028361730E-2
2.773270792E0,1.008537650E0,-1.434508443E0,-1.087172478E-1
2.793190792E0,1.068949342E0,-2.150677294E-1,-1.989794970E-1
2.813109792E0,8.422139883E-1,3.518494964E-1,-8.109289408E-1
2.833028792E0,5.765566826E-1,1.001788378E0,-1.579218388E0
2.852948667E0,5.370655060E-1,1.215898514E0,-1.743399620E0
2.872867667E0,2.077297717E-1,-6.745534539E-1,-1.407899559E-1
2.892786667E0,-1.079135537E-1,-1.612361312E0,2.017155409E0
2.912706667E0,-7.475728989E-1,6.998314261E-1,1.056650400E0
2.932625667E0,-1.043514848E0,9.064123631E-1,-6.784846187E-1
2.952545667E0,5.269238949E-1,-1.153300405E0,-2.716742158E-1
2.972464667E0,7.481524944E-1,-6.931558847E-1,-3.505860567E-1
2.992383667E0,4.106993675E-1,2.851028144E-1,-6.410049740E-3
3.012303667E0,-1.478757113E-1,1.452298760E0,5.052832961E-1
3.032222667E0,-1.205169559E0,-2.174077928E-1,7.061681747E-1
3.052141667E0,-9.020026326E-1,-9.306515455E-1,3.717846572E-1
3.072061667E0,-9.999299645E-1,-9.334493279E-1,1.827441603E-1
3.091980667E0,-1.216761947E0,-4.721616507E-1,3.248661458E-1
3.111900667E0,-9.208375216E-1,-3.070371747E-1,1.784048080E-1
3.131819667E0,-7.040807009E-1,-3.527726531E-1,3.998807371E-1
3.151738667E0,-3.729930520E-1,-6.197139025E-1,2.542585731E-1
3.171658667E0,7.738332450E-2,-3.967713118E-1,1.187257618E-1
3.191577667E0,5.122554898E-1,-6.909329295E-1,-3.575542197E-2
3.211496667E0,6.006234884E-1,-3.290598094E-1,-1.355371089E-3
3.231416667E0,4.740842283E-1,-2.906177521E0,7.407088876E-1
3.251335667E0,-8.457335830E-1,-2.238276720E0,1.263386756E-1
3.271254667E0,-5.467704535E-1,1.452831030E0,4.075986147E-2
3.291174667E0,-8.146426082E-1,1.300515413E0,-3.484893739E-1
3.311093667E0,-8.466176391E-1,2.195479423E-1,-7.095692754E-1
3.331013667E0,-9.742797613E-1,1.420167804E0,-4.744462371E-1
3.350932667E0,-7.051508427E-1,5.253900290E-1,1.837309957E0
3.370851667E0,7.454318553E-2,-2.025894076E-1,1.276098013E0
3.390771667E0,8.022121191E-1,-1.711082011E-1,5.320309997E-1
3.410690667E0,6.216696501E-1,-6.255901456E-1,9.879966974E-1
3.430609667E0,3.685800731E-1,-7.463998795E-1,1.396861672E-1
3.450529667E0,1.450200081E-1,-5.972740799E-2,-1.637022048E-1
3.470448667E0,-1.545957476E-1,1.587916464E-1,-2.164170742E-1
3.490367667E0,-3.308607638E-1,2.740746737E-1,-1.938622296E-1
3.510287667E0,-3.250634670E-1,2.573737204E-1,3.602220118E-1
3.530206667E0,-9.760840535E-1,1.135795474E0,1.022300124E0
3.550126667E0,-4.613606036E-1,5.263159275E-1,1.952129722E0
3.570045667E0,7.323405743E-1,-5.836788416E-1,2.602136135E0
3.589964667E0,9.344453812E-1,-1.380072594E0,2.242459297E0
3.609884667E0,-1.615435481E0,-1.268874407E0,1.241075635E0
3.629803667E0,-1.767272472E0,-2.503139675E-1,1.659327419E-3
3.649722667E0,-4.367658496E-1,-2.133376449E-1,-3.198662400E-1
3.669642667E0,4.955851473E-3,9.146766067E-1,1.302436739E-1
3.689561667E0,-7.984735817E-2,7.192987800E-1,1.503433436E-1
