"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.478250165E-3,-1.612780775E0,5.780615866E-2,-2.444112754E0
2.439825004E-2,-3.970849997E-1,1.571468443E-1,-3.533115739E-1
4.431725014E-2,2.758913688E-1,6.394210982E-1,1.531717317E0
6.423625024E-2,-3.239439332E-1,-4.025661796E-1,-3.120156133E-1
8.415625012E-2,-1.906227678E0,-4.721574014E-1,-2.523471165E0
1.040752502E-1,-7.878512058E-1,4.067247194E-1,-2.364461398E0
1.239952501E-1,6.236293036E-1,6.049289578E-1,-2.988049990E-1
1.439142502E-1,8.276717676E-1,5.994723362E-1,-2.128421581E-1
1.638332503E-1,2.937718802E-1,2.327238607E-1,-5.545551950E-1
1.837532502E-1,4.665533934E-1,-1.048211054E0,1.197790432E0
2.036722503E-1,-6.213347831E-1,-1.069136923E0,2.049301736E0
2.235912504E-1,-1.613632861E0,1.093778698E-1,2.515808389E0
2.435112502E-1,-8.445325794E-1,9.638282771E-1,1.777686290E0
2.634302503E-1,8.990865167E-1,6.739402820E-1,7.152600700E-1
2.833502502E-1,-8.441289023E-2,9.195654394E-1,4.077321947E-1
3.032692503E-1,-1.847090109E-1,1.506013980E0,9.505578750E-1
3.231882500E-1,1.782858299E0,-1.251740790E0,8.661778754E-1
3.431082503E-1,2.427132147E0,-3.144014820E0,-1.836212826E0
3.630272504E-1,9.242932787E-1,-2.569669138E0,-1.751708865E0
3.829462500E-1,2.009875496E-1,-7.712559307E-1,2.658980387E-1
4.028662504E-1,5.637234829E-1,1.804050216E-1,8.938743818E-1
4.227852500E-1,8.759216025E-1,-6.240353197E-1,4.082718927E-1
4.427052503E-1,1.858308284E0,-1.610450952E0,4.941844475E-1
4.626242500E-1,-1.407965967E0,-1.363821828E0,-2.216538536E0
4.825432501E-1,-1.645951445E0,-1.371157452E-1,-5.661243204E0
5.024632500E-1,-6.677275423E-1,-7.742254391E-1,-1.591479369E0
5.223822501E-1,-1.068784044E0,-4.897136664E-1,-1.875552308E0
5.423012502E-1,-2.179558844E0,-2.182560658E0,-4.189683797E0
5.622212500E-1,-1.266867391E0,-2.270478808E0,-6.039880823E0
5.821402501E-1,-8.283668554E-1,-1.872748276E0,-7.061570077E0
6.020602500E-1,-8.317885875E0,4.415662310E-1,-5.850970734E0
6.219792501E-1,-3.248258103E0,-3.911965612E-1,-2.285338045E0
6.418982502E-1,-2.882615921E-1,-2.042561797E0,-1.201684678E-1
6.618182501E-1,-7.267779154E-1,-3.464257465E0,9.591912889E-1
6.817372502E-1,1.286884603E0,-3.286344527E0,2.214011369E0
7.016562503E-1,8.686340714E-1,-1.398334489E-1,3.132885522E0
7.215762502E-1,-2.779556114E0,-2.165630338E0,-1.106212510E0
7.414952503E-1,4.238500446E-3,-2.114471951E-2,-6.388359089E0
7.614152501E-1,1.055028031E0,9.352354657E-2,-3.661409497E0
7.813342502E-1,1.332732329E0,-9.928591912E-1,1.298556669E0
8.012532503E-1,-3.505625347E0,-4.025218285E0,1.023182632E0
8.211732502E-1,-4.358038292E0,-5.584182749E0,-2.140911233E0
8.410921670E-1,-8.638071218E-1,-4.387755011E0,3.700878203E-1
8.610111671E-1,1.413839203E0,-4.584213271E0,4.331462989E0
8.809311669E-1,1.970268723E0,-5.422508991E0,6.338552506E0
9.008501670E-1,3.465019358E0,-5.259676899E0,7.797402990E0
9.207701669E-1,3.251465593E0,-5.709234812E0,9.486705692E0
9.406891670E-1,8.302858531E0,3.816790482E-1,3.705047852E0
9.606081666E-1,1.094957204E1,2.451063631E0,1.760996583E0
