"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.782541675E-2,-1.125082352E0,2.606361294E-1,-1.624438369E0
3.774541663E-2,-7.383387378E-1,-2.451603037E-1,-1.344768968E0
5.766441673E-2,-2.188972422E-1,-3.315388817E-1,4.744658822E-1
7.758441661E-2,2.542354748E-1,-7.162616980E-1,1.835522854E-1
9.750341671E-2,-1.047316430E0,-2.939351454E-1,-1.868018171E0
1.174234166E-1,-1.173573019E0,2.088566959E-1,-2.817121258E0
1.373434169E-1,-6.979821324E-3,-5.008026186E-1,-3.344375219E0
1.572624166E-1,-2.798585585E-1,-4.549703881E-1,-3.084893914E0
1.771824169E-1,-4.313629858E-1,2.559153798E-1,-2.146208811E0
1.971024168E-1,3.272891253E-1,1.167155407E0,2.550917995E-1
2.170214169E-1,1.885411298E-1,1.297099250E0,1.462000380E0
2.369414167E-1,-6.124240650E-1,2.396473149E0,2.467814443E0
2.568614166E-1,-5.030330390E-2,1.709369177E-1,1.657045367E0
2.767804167E-1,3.695888189E0,-3.621702225E0,-1.027665693E-1
2.967004166E-1,5.528301202E-1,7.839669004E-1,2.111274036E0
3.166194167E-1,-1.334010091E-1,-8.096582504E-1,7.420520121E-1
3.365394166E-1,6.051906207E-1,2.270232640E-1,4.483756059E-1
3.564594169E-1,9.359886602E-1,1.025778211E0,-6.381142455E-1
3.763784165E-1,2.407195188E0,-1.753414206E0,-4.163167259E0
3.962984169E-1,1.762396991E0,-2.827360610E0,-3.263082549E0
4.162184168E-1,-2.572193966E0,-2.056242089E-1,-1.164131520E0
4.361374169E-1,-2.174906653E0,-1.445982517E0,-1.457722557E0
4.560574167E-1,-9.729676214E-1,-5.709022558E-1,-1.092820047E0
4.759774166E-1,2.156184161E-1,-9.630393416E-1,-2.709153591E0
4.958964167E-1,6.658946595E-1,-1.302242461E0,-3.198482510E0
5.158164166E-1,2.577774256E-1,-1.654145148E-1,-1.867331123E0
5.357354167E-1,9.502582052E-1,-4.891412240E-1,-1.113596959E0
5.556554166E-1,-2.553832832E-1,-2.252615564E0,-3.924136006E0
5.755754169E-1,-1.342827693E-1,-2.206460860E0,-4.181652061E0
5.954944165E-1,-1.396242008E-1,-2.487893781E0,-4.093377816E0
6.154144169E-1,2.631334752E-1,-1.570933715E0,-3.242696816E0
6.353344168E-1,2.127386624E-1,-1.452608582E0,-2.687908902E0
6.552534169E-1,-6.810029876E-1,-4.650177172E0,-4.917438197E-1
6.751734167E-1,-2.316361909E0,-6.025234718E0,3.371215108E0
6.950934166E-1,4.576142651E0,-2.112417752E0,8.712892190E0
7.150124167E-1,4.112088321E0,1.109494113E0,7.193950455E0
7.349324166E-1,1.685050022E0,2.169514935E0,-1.008019048E-1
7.548514167E-1,-7.130730651E-2,-3.976545185E-3,2.375723720E-3
7.747714166E-1,2.893889353E0,-5.003406885E-1,4.407454573E0
7.946910416E-1,2.666833198E0,-1.226265641E-1,5.836811117E0
8.146100417E-1,2.863444545E-1,-1.680983284E0,4.212448177E0
8.345300416E-1,-1.098654107E0,-2.215645812E0,4.645780066E0
8.544500419E-1,3.950159624E-2,-1.659003892E0,2.518081201E0
8.743690415E-1,-1.749724320E0,-1.707914536E0,1.054192756E0
8.942890419E-1,-2.286447408E0,-1.816126178E0,2.431994984E0
