"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.098874956E-3,-1.239721985E0,4.657115479E0,6.528224487E0
2.101887483E-2,-7.744894409E-1,5.105582886E0,7.699987793E0
4.093887517E-2,2.421963501E-1,5.432203674E0,9.139843597E0
6.085887505E-2,5.507048035E-1,5.263654175E0,1.019589752E1
8.077887492E-2,-5.170248413E-1,4.887785797E0,9.671837311E0
1.006988753E-1,-1.190025330E0,5.174739075E0,8.663085022E0
1.206188751E-1,-1.133592682E0,5.486241302E0,8.491691437E0
1.405388750E-1,-7.658074951E-1,5.523064728E0,9.311536560E0
1.604598751E-1,-8.845106506E-1,5.063969421E0,1.095466965E1
1.803798750E-1,-9.276210022E-1,3.954027557E0,1.196776291E1
2.002998749E-1,-1.185684357E0,3.309467926E0,1.108968887E1
2.202198752E-1,-1.541943512E0,3.087928619E0,9.030121765E0
2.401398751E-1,-2.160906372E0,3.126697998E0,7.685467987E0
2.600598750E-1,-2.303410034E0,3.096011810E0,6.993457031E0
2.799798748E-1,-2.274969177E0,2.667752380E0,6.821165314E0
2.998998752E-1,-2.468217316E0,2.444416809E0,7.250472565E0
3.198198751E-1,-2.036065979E0,2.026635590E0,7.535629578E0
3.397398749E-1,-1.070573730E0,1.750010834E0,9.167835388E0
3.596592499E-1,7.541317749E-1,1.101259918E0,1.178080170E1
3.795792502E-1,1.645827484E0,9.963281250E-1,1.307441162E1
3.994992501E-1,1.476379852E0,7.222480774E-1,1.295481033E1
4.194192500E-1,-1.288819885E-1,1.854643250E-1,1.178813644E1
4.393392499E-1,-1.535656586E0,1.309327240E0,9.977651367E0
4.592592502E-1,-4.287084961E-1,8.437953186E-1,8.105943604E0
4.791792501E-1,1.448986816E-1,2.089654541E-1,5.750591583E0
4.990992500E-1,1.307980042E0,-1.221310272E0,3.278033295E0
5.190192498E-1,1.636097717E-1,-1.597178650E-1,2.601889343E0
5.389392502E-1,7.036866760E-1,-3.444337463E-1,2.525997162E0
5.588592500E-1,2.505639496E0,-2.936892700E-1,4.572391663E0
5.787802502E-1,2.603086853E-1,1.270408173E0,6.877448273E0
5.987002500E-1,5.968089294E-1,-6.807843018E-1,8.613538055E0
6.186202499E-1,1.268462219E0,-1.393751678E0,1.110061615E1
6.385402502E-1,9.806108093E-1,-8.608598328E-1,1.382285522E1
6.584602501E-1,3.040028229E0,-1.833686829E0,1.373648483E1
6.783802500E-1,3.828139343E0,-1.467548218E0,1.409049866E1
6.983002499E-1,2.045945435E0,-1.149908752E0,1.290226959E1
7.182202502E-1,-6.240522766E-1,-3.394940186E-1,6.602021027E0
7.381402501E-1,-5.433700562E-2,1.920356598E0,3.303929443E0
7.580602500E-1,-1.060095520E0,2.830613708E-1,3.952530670E0
7.779802498E-1,1.926793213E0,1.251846771E0,1.809736633E0
7.979002502E-1,3.607498169E0,9.509724426E-1,4.460274811E0
8.178202501E-1,3.630400543E0,-1.147962799E0,5.924380188E0
