"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.098874956E-3,-4.238852561E-1,-7.805928588E-2,9.852045178E-1
2.101887483E-2,-6.856500506E-1,-3.619094566E-2,1.014610171E0
4.093887517E-2,-5.428131223E-1,3.257437050E-1,8.606413007E-1
6.085887505E-2,-1.484253109E-1,8.160693049E-1,6.780070066E-1
8.077887492E-2,1.321151704E-1,9.757781625E-1,7.205933332E-1
1.006988753E-1,1.280793697E-1,8.139567971E-1,8.356009722E-1
1.206188751E-1,-6.680341810E-2,4.668841660E-1,8.171233535E-1
1.405388750E-1,-2.798750103E-1,6.609385461E-2,6.067978144E-1
1.604598751E-1,-3.531581461E-1,8.523693308E-3,4.762126207E-1
1.803798750E-1,-3.075227737E-1,3.558363318E-1,5.027945042E-1
2.002998749E-1,-3.988046646E-1,7.952172756E-1,6.118983030E-1
2.202198752E-1,-6.500427723E-1,9.985746741E-1,7.265774608E-1
2.401398751E-1,-8.395570517E-1,6.510809064E-1,7.922739387E-1
2.600598750E-1,-1.097978711E0,-9.026527405E-3,8.002522588E-1
2.799798748E-1,-1.443663120E0,-8.369309902E-1,8.486917019E-1
2.998998752E-1,-1.732992172E0,-1.581524968E0,9.670689106E-1
3.198198751E-1,-2.214816332E0,-2.005054712E0,1.182643533E0
3.397398749E-1,-2.603606939E0,-1.143092394E0,1.227009416E0
3.596592499E-1,-2.150851011E0,-5.869385004E-1,1.315807462E0
3.795792502E-1,-9.563725591E-1,5.364422798E-1,1.449742794E0
3.994992501E-1,4.915953577E-1,1.630684733E0,1.583392739E0
4.194192500E-1,1.359808683E0,8.876644373E-1,1.822692990E0
4.393392499E-1,2.002773523E0,5.633065104E-1,2.063871861E0
4.592592502E-1,2.033372402E0,-4.055221975E-1,2.224944592E0
4.791792501E-1,1.550869942E0,-5.433773994E-1,2.340657234E0
4.990992500E-1,3.558945358E-1,-2.046063356E-2,2.394674540E0
5.190192498E-1,-9.304854274E-1,1.848244548E0,2.592323303E0
5.389392502E-1,-2.389513493E0,3.117104292E0,2.513636827E0
5.588592500E-1,-3.707678318E0,2.093984842E0,1.969188094E0
5.787802502E-1,-4.506939888E0,4.282775819E-1,2.113884211E0
5.987002500E-1,-4.535618305E0,-3.670625687E-1,2.375989676E0
6.186202499E-1,-3.382002354E0,-5.462782979E-1,2.459495068E0
6.385402502E-1,-1.165157318E0,-1.053495333E-2,2.293204784E0
6.584602501E-1,1.086170673E0,1.499166012E0,1.527642369E0
6.783802500E-1,3.309676170E0,2.826218605E0,7.937913537E-1
6.983002499E-1,4.900658131E0,3.231350780E-1,3.222025037E-1
7.182202502E-1,3.805214882E0,-5.380650997E0,-1.218154669E0
7.381402501E-1,1.224808931E0,-4.735629559E0,-1.258841395E0
7.580602500E-1,-7.518307567E-1,-8.733908534E-1,-9.036799520E-2
7.779802498E-1,-2.860544920E0,1.131407142E0,6.935968995E-1
7.979002502E-1,-3.959872484E0,2.708804369E0,1.419238597E-1
8.178202501E-1,-4.100889683E0,3.748573065E-1,-5.214373469E-1
8.377402499E-1,-3.411835194E0,-2.266687870E0,-2.263466567E-1
8.576602498E-1,-2.565504789E0,-2.737725019E0,5.005137324E-1
8.775802501E-1,-2.102009296E0,-3.247252941E0,2.657581568E-1
8.975002500E-1,-1.951742291E0,-3.601153612E0,-1.339073896E0
9.174202499E-1,-2.297910213E0,-3.499159813E0,-1.411353350E0
9.373402502E-1,-2.965966225E0,-3.413242102E0,-9.856055975E-1
9.572612499E-1,-3.099724531E0,-3.998795271E0,-8.832669854E-1
9.771812502E-1,-2.565577269E0,-5.344106674E0,-9.001766443E-1
9.971012501E-1,-1.756231785E0,-6.335336685E0,-9.104233980E-1
1.017021250E0,-1.408169508E0,-6.051856041E0,-8.567375541E-1
1.036941250E0,-1.117399812E0,-5.635016918E0,-6.942051649E-1
1.056861250E0,-3.749115169E-1,-5.828167915E0,-1.066672921E0
1.076781250E0,7.937716693E-2,-5.210490704E0,-1.910490513E0
1.096701250E0,-5.765233636E-1,-3.176909685E0,-2.030157328E0
1.116621250E0,-1.290412664E0,-1.047025561E0,-1.401396155E0
1.136541250E0,-1.489285588E0,-5.519359112E-1,-4.758192599E-1
1.156461250E0,-1.355969548E0,-7.508778572E-1,7.740556449E-2
1.176381250E0,-7.320492864E-1,-8.429893255E-1,2.490393072E-1
1.196301250E0,-2.574386001E-1,-9.755241871E-1,4.167833924E-1
1.216221250E0,-3.185758293E-1,-1.234151602E0,8.467544913E-1
